unicode,Kanji,Definition,On Readings,Kun Readings
U+5996,妖,"attractive, bewitching, calamity",ヨウ,"あや.しい, なま.めく, わざわ.い"
U+5999,妙,"exquisite, strange, queer, mystery, miracle, excellent, delicate, charming","ミョウ, ビョウ",たえ
U+59A3,妣,mother,ヒ,なきはは
U+59A8,妨,"disturb, prevent, hamper, obstruct",ボウ,さまた.げる
U+59AC,妬,"jealous, envy","ト, ツ","ねた.む, そね.む, つも.る, ふさ.ぐ"
U+59B9,妹,younger sister,マイ,いもうと
U+59BB,妻,"wife, spouse",サイ,つま
U+59BE,妾,concubine,ショウ,"めかけ, そばめ, わらわ"
U+59C9,姉,elder sister,シ,"あね, はは"
U+59CA,姊,elder sister,シ,"あね, はは"
U+59CB,始,"commence, begin",シ,"はじ.める, -はじ.める, はじ.まる"
U+59D1,姑,mother-in-law,コ,"しゅうとめ, しゅうと, おば, しばらく"
U+59D3,姓,surname,"セイ, ショウ",
U+59D4,委,"committee, entrust to, leave to, devote, discard",イ,ゆだ.ねる
U+59DA,姚,beautiful,"ヨウ, チョウ",うつく.しい
U+59DC,姜,"Chinese surname, ginger","キョウ, ガ",こう
U+59E6,姦,"wicked, mischief, seduce, rape, noisy","カン, ケン","かん.する, かしま.しい, みだら"
U+59E8,姨,younger sister,"テイ, イ","いもと, いもうと, おば"
U+59EA,姪,niece,"テツ, チツ, ジチ, イツ, イチ","めい, おい"
U+59EB,姫,princess,キ,"ひめ, ひめ-"
U+59FF,姿,"figure, form, shape",シ,すがた
U+5A01,威,"intimidate, dignity, majesty, menace, threaten",イ,"おど.す, おど.し, おど.かす"
U+5A11,娑,old woman,"シャ, サ",
U+5A18,娘,"daughter, girl",ジョウ,"むすめ, こ"
U+5A1F,娟,beauty of face,"エン, ケン",
U+5A23,娣,"younger sister, sister-in-law","テイ, ダイ","いもうと, おば"
U+5A25,娥,beautiful,ガ,みめよ.い
U+5A2F,娯,"recreation, pleasure",ゴ,
U+5A35,娵,"marry, bride","シュ, シュウ, ス, ソウ",よめ
U+5A36,娶,"marry, arrange a marriage",シュ,"めと.る, めあわ.せる"
U+5A3C,娼,prostitute,ショウ,あそびめ
U+5A46,婆,"old woman, grandma, wet nurse",バ,"ばば, ばあ"
U+5A5A,婚,marriage,コン,
U+5A62,婢,maidservant,ヒ,はしため
U+5A66,婦,"lady, woman, wife, bride",フ,よめ
U+5A6C,婬,"lewdness, licentiousness",イン,"みだれ-, ひた.す, ほしいまま, みだ.ら, みだ.れる"
U+5A7F,婿,"bridegroom, son-in-law",セイ,むこ
U+5A92,媒,"mediator, go-between",バイ,なこうど
U+5A9A,媚,"flatter, humor, flirt",ビ,こ.びる
U+5A9B,媛,"beautiful woman, princess",エン,ひめ
U+5AB1,媱,"good looking, to play as one pleases",ヨウ,"みめよ.い, たわむ.れる"
U+5AB3,媳,daughter-in-law,"セキ, シャク",よめ
U+5ABD,媽,"mother, mare","ボ, モ",はは
U+5AC1,嫁,"marry into, bride",カ,"よめ, とつ.ぐ, い.く, ゆ.く"
U+5AC9,嫉,"jealous, envy",シツ,"そね.む, ねた.む, にく.む"
U+5ACC,嫌,"dislike, detest, hate","ケン, ゲン","きら.う, きら.い, いや"
U+5AD7,嫗,"old woman, mother","ウ, オウ","あたた.める, おうな"
U+5AE1,嫡,"legitimate wife, direct descent (non-bastard)","チャク, テキ",
U+5AE9,嫩,"young, weak","ドン, ノン",わか.い
U+5AF0,嫰,,,
U+5B09,嬉,"glad, pleased, rejoice",キ,"うれ.しい, たの.しむ"
U+5B0B,嬋,beautiful,セン,
U+5B22,嬢,"lass, girl, Miss, daughter",ジョウ,むすめ
U+5B30,嬰,"sharp (music), baby",エイ,"ふ.れる, みどりご, あかご"
U+5B32,嬲,"sport with, ridicule, tease","ドウ, ジョウ",なぶ.る
U+5B36,嬶,"wife (vulg), (kokuji)",,"かか, かかあ"
U+5B40,孀,widow,ソウ,やもめ
U+5B41,孁,shrine maiden,"レイ, リョウ","おんなのあざな, め"
U+5B50,子,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac","シ, ス, ツ","こ, -こ, ね"
U+5B51,孑,mosquito wriggler,ケツ,ひとり
U+5B54,孔,"cavity, hole, slit, very, great, exceedingly","コウ, ク",あな
U+5B57,字,"character, letter, word, section of village",ジ,"あざ, あざな, -な"
U+5B58,存,"exist, suppose, be aware of, believe, feel","ソン, ゾン","ながら.える, あ.る, たも.つ, と.う"
U+5B5C,孜,industriousness,シ,つと.める
U+5B5D,孝,"filial piety, child's respect","コウ, キョウ",
U+5B5F,孟,"chief, beginning","モウ, ボウ, ミョウ",かしら
U+5B63,季,seasons,キ,
U+5B64,孤,"orphan, alone",コ,
U+5B66,学,"study, learning, science",ガク,まな.ぶ
U+5B6B,孫,"grandchild, descendants",ソン,まご
U+5B70,孰,"which, how, who",ジュク,"いずれ, たれ"
U+5B78,學,"learning, knowledge, school",ガク,まな.ぶ
U+5B85,宅,"home, house, residence, our house, my husband",タク,
U+5B87,宇,"eaves, roof, house, heaven",ウ,
U+5B88,守,"guard, protect, defend, obey","シュ, ス","まも.る, まも.り, もり, -もり, かみ"
U+5B89,安,"relax, cheap, low, quiet, rested, contented, peaceful",アン,"やす.い, やす.まる, やす, やす.らか"
U+5B8B,宋,"dwell, Sung dynasty",ソウ,
U+5B8C,完,"perfect, completion, end",カン,
U+5B95,宕,cave,トウ,すぎる
U+5B97,宗,"religion, sect, denomination, main point, origin, essence","シュウ, ソウ",むね
U+5B98,官,"bureaucrat, the government, organ",カン,
U+5B99,宙,"mid-air, air, space, sky, memorization, interval of time",チュウ,
U+5B9A,定,"determine, fix, establish, decide","テイ, ジョウ","さだ.める, さだ.まる, さだ.か"
U+5B9B,宛,"address, just like, fortunately",エン,"あ.てる, -あて, -づつ, あたか.も"
U+5B9C,宜,"best regards, good",ギ,"よろ.しい, よろ.しく"
U+5B9D,宝,"treasure, wealth, valuables",ホウ,たから
U+5B9F,実,"reality, truth, seed, fruit, nut","ジツ, シツ","み, みの.る, まこと, みの, みち.る"
U+5BA2,客,"guest, visitor, customer, client","キャク, カク",
U+5BA3,宣,"proclaim, say, announce",セン,のたま.う
U+5BA4,室,"room, apartment, chamber, greenhouse, cellar",シツ,むろ
U+5BA5,宥,"soothe, calm, pacify",ユウ,"なだ.める, ゆる.す"
U+5BA6,宦,official,カン,つかさ
U+5BAE,宮,"Shinto shrine, constellations, palace, princess","キュウ, グウ, ク, クウ",みや
U+5BB0,宰,"superintend, manager, rule",サイ,
U+5BB3,害,"harm, injury",ガイ,
U+5BB4,宴,"banquet, feast, party",エン,うたげ
U+5BB5,宵,"wee hours, evening, early night",ショウ,よい
U+5BB6,家,"house, home, family, professional, expert, performer","カ, ケ","いえ, や, うち"
U+5BB8,宸,"eaves, palace, imperial courtesy",シン,のき
U+5BB9,容,"contain, form, looks",ヨウ,い.れる
U+5BBF,宿,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling",シュク,"やど, やど.る, やど.す"
U+5BC2,寂,"loneliness, quietly, mellow, mature, death of a priest","ジャク, セキ","さび, さび.しい, さび.れる, さみ.しい"
U+5BC4,寄,"draw near, stop in, bring near, gather, collect, send, forward",キ,"よ.る, -よ.り, よ.せる"
U+5BC5,寅,"sign of the tiger, 3-5AM, third sign of Chinese zodiac",イン,とら
U+5BC6,密,"secrecy, density (pop), minuteness, carefulness",ミツ,ひそ.か
U+5BC7,寇,"bandits, thieves, enemy, invade",コウ,あだ.する
U+5BCC,富,"wealth, enrich, abundant","フ, フウ","と.む, とみ"
U+5BD0,寐,sleep,ビ,ね.る
U+5BD2,寒,cold,カン,さむ.い
U+5BD3,寓,"temporary abode, imply, suggest","グウ, グ, ドウ","ぐう.する, かこつ.ける, よ.せる, よ.る, かりずまい"
U+5BD4,寔,"real, genuine, actual",ショク,"これ, じき, まことに"
U+5BDB,寛,"tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded",カン,"くつろ.ぐ, ひろ.い, ゆる.やか"
U+5BDD,寝,"lie down, sleep, rest, bed, remain unsold",シン,"ね.る, ね.かす, い.ぬ, みたまや, や.める"
U+5BDF,察,"guess, presume, surmise, judge, understand",サツ,
U+5BE1,寡,"widow, minority, few",カ,
U+5BE2,寢,"sleep, rest, bed chamber",シン,"ね.る, ね.かす, い.ぬ, みたまや, や.める"
U+5BE4,寤,"awake, understand",ゴ,さ.める
U+5BE6,實,"truth, reality","ジツ, シツ","み, みの.る, まこと.に, みの.り, みち.る"
U+5BE7,寧,"rather, preferably, peaceful, quiet, tranquility",ネイ,むし.ろ
U+5BE8,寨,fort,サイ,とりで
U+5BE9,審,"hearing, judge, trial",シン,"つまび.らか, つぶさ.に"
U+5BF3,寳,"treasure, jewel, precious, rare",ホウ,たから
U+5BF5,寵,"affection, love, patronage",チョウ,"めぐ.み, めぐ.む"
U+5BF6,寶,"treasure, jewel, precious, rare",ホウ,たから
U+5BF8,寸,"measurement, tenth of a shaku, a little, small",スン,
U+5BFA,寺,Buddhist temple,ジ,てら
U+5BFE,対,"vis-a-vis, opposite, even, equal, versus, anti-, compare","タイ, ツイ","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う"
U+5BFF,寿,"longevity, congratulations, one's natural life","ジュ, ス, シュウ","ことぶき, ことぶ.く, ことほ.ぐ"
U+5C01,封,"seal, closing","フウ, ホウ",
U+5C02,専,"specialty, exclusive, mainly, solely",セン,もっぱ.ら
U+5C04,射,"shoot, shine into, onto, archery",シャ,"い.る, さ.す, う.つ"
U+5C05,尅,"subdue, destroy, overcome",コク,かつ
U+5C06,将,"leader, commander, general, admiral, or, and again, soon, from now on, just about","ショウ, ソウ","まさ.に, はた, まさ, ひきい.る, もって"
U+5C07,將,"commander, general, admiral","ショウ, ソウ","まさ.に, はた, ひきい.る, もって"
U+5C08,專,"specialty, exclusive, mainly, solely",セン,もっぱ.ら
U+5C09,尉,"military officer, jailer, old man, rank","イ, ジョウ",
U+5C0A,尊,"revered, valuable, precious, noble, exalted",ソン,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ"
U+5C0B,尋,"inquire, fathom, look for",ジン,"たず.ねる, ひろ"
U+5C0D,對,"correct, right, facing, opposed","タイ, ツイ","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う"
U+5C0E,導,"guidance, leading, conduct, usher",ドウ,みちび.く
U+5C0F,小,"little, small",ショウ,"ちい.さい, こ-, お-, さ-"
U+5C11,少,"few, little",ショウ,"すく.ない, すこ.し"
U+5C13,尓,"you, that","ジ, ニ","なんじ, しかり, その, のみ"
U+5C16,尖,"be pointed, sharp, taper, displeased, angry, edgy",セン,"とが.る, さき, するど.い"
U+5C1A,尚,"esteem, furthermore, still, yet",ショウ,なお
U+5C24,尤,"reasonable, just, natural, superb, outstanding, plausible",ユウ,"もっと.も, とが.める"
U+5C28,尨,shaggy hair or dog,ボウ,むくいぬ
U+5C2D,尭,"high, far",ギョウ,たか.い
U+5C31,就,"concerning, settle, take position, depart, study, per","シュウ, ジュ","つ.く, つ.ける"
U+5C3A,尺,"shaku, Japanese foot, measure, scale, rule","シャク, セキ",さし
U+5C3B,尻,"buttocks, hips, butt, rear",コウ,しり
U+5C3C,尼,nun,ニ,あま
U+5C3D,尽,"exhaust, use up, run out of, deplete, befriend, serve","ジン, サン","つ.きる, つ.くす, つ.かす, -づ.く, -ず.く, ことごと.く"
U+5C3E,尾,"tail, end, counter for fish, lower slope of mountain",ビ,お
U+5C3F,尿,urine,ニョウ,"ゆばり, いばり, しと"
U+5C40,局,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment",キョク,つぼね
U+5C41,屁,"fart, passing gas",ヒ,"へ, おなら"
U+5C45,居,"reside, to be, exist, live with","キョ, コ","い.る, -い, お.る"
U+5C48,屈,"yield, bend, flinch, submit",クツ,"かが.む, かが.める"
U+5C4A,届,"deliver, reach, arrive, report, notify, forward",カイ,"とど.ける, -とど.け, とど.く"
U+5C4B,屋,"roof, house, shop, dealer, seller",オク,や
U+5C4D,屍,corpse,シ,しかばね
U+5C4E,屎,"shit, excrement","シ, キ",くそ
U+5C4F,屏,"wall, fence","ヘイ, ビョウ","おお.う, しりぞ.く, びょう.ぶ"
U+5C50,屐,clog,"ゲキ, ケキ",はきもの
U+5C51,屑,"rubbish, junk, trash, waste, scraps",セツ,"くず, いさぎよ.い"
U+5C53,屓,exerting strength,キ,
U+5C55,展,"unfold, expand",テン,
U+5C5E,属,"belong, genus, subordinate official, affiliated","ゾク, ショク","さかん, つく, やから"
U+5C60,屠,"slaughter, butcher, slay","ト, チョ",ほふ.る
U+5C61,屡,"often, frequently",ル,しばしば
U+5C65,履,"perform, complete, footgear, shoes, boots, put on (the feet)",リ,は.く
U+5C69,屩,straw sandals,"キャク, カク, キク, コク, キョウ","いとぐつ, くつしき, しきわら"
U+5C6F,屯,"barracks, police station, camp, ton",トン,たむろ
U+5C71,山,mountain,"サン, セン",やま
U+5C90,岐,"branch off, fork in road, scene, arena, theater","キ, ギ",
U+5CA1,岡,"mount, hill, knoll",コウ,おか
U+5CA8,岨,a rocky mountain,"ソ, ショ","いしやま, そば"
U+5CA9,岩,"boulder, rock, cliff",ガン,いわ
U+5CB3,岳,"point, peak, mountain",ガク,たけ
U+5CB8,岸,beach,ガン,きし
U+5CE0,峠,"mountain peak, mountain pass, climax, crest, (kokuji)",,とうげ
U+5CE8,峨,high mountain,ガ,けわ.しい
U+5CEF,峯,"peak, summit",ホウ,"みね, ね"
U+5CF0,峰,"summit, peak",ホウ,"みね, ね"
U+5CF6,島,island,トウ,しま
U+5CFD,峽,"gorge, strait, ravine, isthmus","キョウ, コウ",はざま
U+5D07,崇,"adore, respect, revere, worship",スウ,あが.める
U+5D0E,崎,"promontory, cape, spit",キ,"さき, さい, みさき"
U+5D11,崑,place name,コン,
U+5D14,崔,"cliff, bluff, precipice","ガイ, サイ, スイ",がけ
U+5D16,崖,"cliff, bluff, precipice","ガイ, ゲ, ギ","がけ, きし, はて"
U+5D19,崙,place name,ロン,
U+5D29,崩,"crumble, die, demolish, level",ホウ,"くず.れる, -くず.れ, くず.す"
U+5D50,嵐,"storm, tempest",ラン,あらし
U+5D69,嵩,"be aggravated, grow worse, grow bulky, swell","スウ, シュウ","かさ, かさ.む, たか.い"
U+5D6F,嵯,"steep, craggy, rugged","サ, シ",
U+5D8B,嶋,island,トウ,しま
U+5D8C,嶌,island,トウ,しま
U+5DAE,嶮,"inaccessible place, impregnable position, steep place, sharp eyes",ケン,けわ.しい
U+5DBA,嶺,"peak, summit","レイ, リョウ",みね
U+5DBD,嶽,peak,ガク,たけ
U+5DCC,巌,"rock, crag, boulder",ガン,"いわ, いわお, けわ.しい"
U+5DD6,巖,"rock, crag, boulder",ガン,"いわ, いわお, けわ.しい"
U+5DDD,川,"stream, river, river or three-stroke river radical (no. 47)",セン,かわ
U+5DDE,州,"state, province","シュウ, ス",す
U+5DE1,巡,"patrol, go around, circumference",ジュン,"めぐ.る, めぐ.り"
U+5DE2,巢,"nest, living quarter in tree",ソウ,"す, す.くう"
U+5DE3,巣,"nest, rookery, hive, cobweb, den",ソウ,"す, す.くう"
U+5DE5,工,"craft, construction, katakana e radical (no. 48)","コウ, ク, グ",
U+5DE6,左,left,"サ, シャ",ひだり
U+5DE7,巧,"adroit, skilled, ingenuity",コウ,"たく.み, たく.む, うま.い"
U+5DE8,巨,"gigantic, big, large, great",キョ,
U+5DEB,巫,"sorcerer, medium, shrine maiden",フ,"みこ, かんなぎ"
U+5DEE,差,"distinction, difference, variation, discrepancy, margin, balance",サ,"さ.す, さ.し"
U+5DF1,己,self,"コ, キ","おのれ, つちのと, な"
U+5DF2,已,"stop, halt, previously, already, long ago",イ,"や.む, すで.に, のみ, はなはだ"
U+5DF3,巳,"sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac",シ,み
U+5DF4,巴,comma-design,ハ,"ともえ, うずまき"
U+5DF7,巷,"fork in road, scene, arena, theater",コウ,ちまた
U+5DFB,巻,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)","カン, ケン","ま.く, まき, ま.き"
U+5DFE,巾,"towel, hanging scroll, width, cloth radical (no. 50)","キン, フク","おお.い, ちきり, きれ"
U+5E02,市,"market, city, town",シ,いち
U+5E03,布,"linen, cloth, spread, distribute","フ, ホ","ぬの, し.く, きれ"
U+5E06,帆,sail,ハン,ほ
U+5E0B,帋,"paper, stationary, document",シ,かみ
U+5E0C,希,"hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal","キ, ケ","まれ, こいねが.う"
U+5E16,帖,"quire (of paper), bundle of seaweed, counter for screens, notebook","チョウ, ジョウ",かきもの
U+5E1B,帛,cloth,ハク,きぬ
U+5E1D,帝,"sovereign, the emperor, god, creator",テイ,みかど
U+5E25,帥,"commander, leading troops, governor",スイ,
U+5E2B,師,"expert, teacher, master, model, exemplar, army (incl. counter), war",シ,いくさ
U+5E2D,席,"seat, mat, occasion, place",セキ,むしろ
U+5E2F,帯,"sash, belt, obi, zone, region",タイ,"お.びる, おび"
U+5E30,帰,"homecoming, arrive at, lead to, result in",キ,"かえ.る, かえ.す, おく.る, とつ.ぐ"
U+5E33,帳,"notebook, account book, album, curtain, veil, net, tent",チョウ,とばり
U+5E36,帶,"belt, girdle, band, strap, zone",タイ,"お.びる, おび"
U+5E37,帷,"curtain, screen",イ,とばり
U+5E38,常,"usual, ordinary, normal, common, regular, continually, always, long-lasting",ジョウ,"つね, とこ-"
U+5E3D,帽,"cap, headgear","ボウ, モウ","ずきん, おお.う"
U+5E45,幅,"hanging scroll, width",フク,はば
U+5E55,幕,"curtain, bunting, act of play","マク, バク",とばり
U+5E5F,幟,"flag, banner, streamer",シ,のぼり
U+5E61,幡,flag,"マン, ハン, バン, ホン",はた
U+5E62,幢,"flag, banner",トウ,はた
U+5E63,幣,"cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper",ヘイ,ぬさ
U+5E72,干,"dry, parch, ebb, recede, interfere, intercede",カン,"ほ.す, ほ.し-, -ぼ.し, ひ.る"
U+5E73,平,"even, flat, peace","ヘイ, ビョウ, ヒョウ","たい.ら, たい.らげる, ひら"
U+5E74,年,"year, counter for years",ネン,とし
U+5E76,并,put together,"ヘイ, ヒョウ","あわ.せる, なら.ぶ"
U+5E78,幸,"happiness, blessing, fortune",コウ,"さいわ.い, さち, しあわ.せ"
U+5E7B,幻,"phantasm, vision, dream, illusion, apparition",ゲン,まぼろし
U+5E7C,幼,"infancy, childhood",ヨウ,おさな.い
U+5E7D,幽,"seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm",ユウ,"ふか.い, かす.か, くら.い, しろ.い"
U+5E7E,幾,"how many, how much, how far, how long, some, several",キ,"いく-, いく.つ, いく.ら"
U+5E7F,广,dotted cliff radical (no. 53),ゲン,
U+5E83,広,"wide, broad, spacious",コウ,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる"
U+5E84,庄,"level, in the country, manor, village, hamlet","ショウ, ソ, ソウ, ホウ",
U+5E87,庇,"protect, shield, defend, eaves, canopy, penthouse, visor",ヒ,"ひさし, おお.う, かば.う"
U+5E8A,床,"bed, counter for beds, floor, padding, tatami",ショウ,"とこ, ゆか"
U+5E8F,序,"preface, beginning, order, precedence, occasion, chance, incidentally",ジョ,"つい.で, ついで"
U+5E95,底,"bottom, sole, depth, bottom price, base, kind, sort",テイ,そこ
U+5E96,庖,kitchen,ホウ,くりや
U+5E97,店,"store, shop",テン,"みせ, たな"
U+5E9A,庚,"7th, 7th calendar sign",コウ,かのえ
U+5E9C,府,"borough, urban prefecture, govt office, representative body, storehouse",フ,
U+5EA6,度,"degrees, occurrence, time, counter for occurrences, consider, attitude","ド, ト, タク","たび, -た.い"
U+5EA7,座,"squat, seat, cushion, gathering, sit",ザ,すわ.る
U+5EAB,庫,"warehouse, storehouse","コ, ク",くら
U+5EAD,庭,"courtyard, garden, yard",テイ,にわ
U+5EB5,庵,"hermitage, retreat",アン,"いおり, いお"
U+5EB6,庶,"commoner, all, bastard",ショ,
U+5EB7,康,"ease, peace",コウ,
U+5EB8,庸,"commonplace, ordinary, employment",ヨウ,
U+5EC3,廃,"abolish, obsolete, cessation, discarding, abandon",ハイ,"すた.れる, すた.る"
U+5EC8,廈,house,"カ, サ",いえ
U+5EC9,廉,"bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful",レン,
U+5ECA,廊,"corridor, hall, tower",ロウ,
U+5ED3,廓,"enclosure, quarter, red-light district",カク,"くるわ, とりで"
U+5EDF,廟,"mausoleum, shrine, palace","ビョウ, ミョウ","たまや, みたまや, やしろ"
U+5EE2,廢,"abrogate, terminate, discard",ハイ,"すた.れる, すた.る"
U+5EE3,廣,"broad, wide, spacious",コウ,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる"
U+5EE9,廩,rice storehouse,リン,くら
U+5EF1,廱,"mild, congenial, block, obstruct",ヨウ,やわらぐ
U+5EF3,廳,"hall, central room","チョウ, テイ",やくしょ
U+5EF6,延,"prolong, stretching",エン,"の.びる, の.べる, の.べ, の.ばす"
U+5EF7,廷,"courts, imperial court, government office",テイ,
U+5EFA,建,build,"ケン, コン","た.てる, た.て, -だ.て, た.つ"
U+5EFB,廻,"round, game, revolve, go around, circumference","カイ, エ","まわ.る, まわ.す, もとお.る, めぐ.る, めぐ.らす"
U+5EFC,廼,"in other words, thou, you, possessive particle","ナイ, ダイ, ノ, アイ","すなわ.ち, なんじ"
U+5EFF,廿,twenty,"ジュウ, ニュウ",にじゅう
U+5F01,弁,"valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap","ベン, ヘン","かんむり, わきま.える, わ.ける, はなびら, あらそ.う"
U+5F09,弉,"large, powerful, stout, thick","ジョウ, ソウ",さかん
U+5F0F,式,"style, ceremony, rite, function, method, system, form, expression",シキ,
U+5F10,弐,"II, two, second","ニ, ジ","ふた.つ, そえ"
U+5F11,弑,murder one's lord or father,"シ, シイ",しい.する
U+5F13,弓,"bow, bow (archery,  violin)",キュウ,ゆみ
U+5F14,弔,"condolences, mourning, funeral",チョウ,"とむら.う, とぶら.う"
U+5F15,引,"pull, tug, jerk, admit, install, quote, refer to",イン,"ひ.く, ひ.ける"
U+5F17,弗,dollar,"フツ, ホチ","どる, ず"
U+5F18,弘,"vast, broad, wide","コウ, グ",ひろ.い
U+5F1F,弟,"younger brother, faithful service to elders","テイ, ダイ, デ",おとうと
U+5F25,弥,"all the more, increasingly","ミ, ビ","や, いや, いよ.いよ, わた.る"
U+5F27,弧,"arc, arch, bow",コ,
U+5F31,弱,"weak, frail",ジャク,"よわ.い, よわ.る, よわ.まる, よわ.める"
U+5F35,張,"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)",チョウ,"は.る, -は.り, -ば.り"
U+5F37,強,strong,"キョウ, ゴウ","つよ.い, つよ.まる, つよ.める, し.いる, こわ.い"
U+5F3E,弾,"bullet, twang, flip, snap","ダン, タン","ひ.く, -ひ.き, はず.む, たま, はじ.く, はじ.ける, ただ.す, はじ.きゆみ"
U+5F48,彈,"bullet, twang, flip, snap","ダン, タン","ひ.く, はず.む, たま, はじ.く, はじ.ける, ただ.す"
U+5F4C,彌,"extensive, full, fill, complete","ミ, ビ","いや, や, あまねし, いよいよ, とおい, ひさし, ひさ.しい, わた.る"
U+5F53,当,"hit, right, appropriate, himself",トウ,"あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし"
U+5F59,彙,"same kind, collect, classify, category, hedgehog",イ,はりねずみ
U+5F62,形,"shape, form, style","ケイ, ギョウ","かた, -がた, かたち, なり"
U+5F66,彦,"lad, boy (ancient)",ゲン,ひこ
U+5F69,彩,"coloring, paint, makeup",サイ,いろど.る
U+5F6B,彫,"carve, engrave, chisel",チョウ,"ほ.る, -ぼ.り"
U+5F70,彰,"patent, clear",ショウ,
U+5F71,影,"shadow, silhouette, phantom",エイ,かげ
U+5F73,彳,"stop, linger, loiter, going man radical (no. 60)",テキ,たたず.む
U+5F79,役,"duty, war, campaign, drafted labor, office, service, role","ヤク, エキ",
U+5F7C,彼,"he, that, the",ヒ,"かれ, かの, か.の"
U+5F80,往,"journey, travel, chase away, let go, going, before, formerly",オウ,"い.く, いにしえ, さき.に, ゆ.く"
U+5F81,征,"subjugate, attack the rebellious, collect taxes",セイ,
U+5F82,徂,go,ソ,ゆ.く
U+5F83,徃,"journey, chase away, let go, going, travel",オウ,"い.く, いにしえ, さき.に, ゆ.く"
U+5F85,待,"wait, depend on",タイ,"ま.つ, -ま.ち"
U+5F8A,徊,wandering,"カイ, クワイ, エ",さまよ.う
U+5F8B,律,"rhythm, law, regulation, gauge, control","リツ, リチ, レツ",
U+5F8C,後,"behind, back, later","ゴ, コウ","のち, うし.ろ, うしろ, あと, おく.れる"
U+5F90,徐,"gradually, slowly, deliberately, gently",ジョ,おもむ.ろに
U+5F91,徑,"path, diameter, method",ケイ,"みち, こみち, さしわたし, ただちに"
U+5F92,徒,"on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people",ト,"いたずら, あだ"
U+5F93,従,"accompany, obey, submit to, comply, follow, secondary, incidental, subordinate","ジュウ, ショウ, ジュ","したが.う, したが.える, より"
U+5F97,得,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit",トク,"え.る, う.る"
U+5F98,徘,wander,ハイ,さまよ.う
U+5F9E,從,"from, by, since, whence, through","ジュウ, ショウ, ジュ","したが.う, したが.える, より"
U+5FA0,徠,"induce, encourage to come",ライ,"きた.す, きた.る, く.る"
U+5FA1,御,"honorable, manipulate, govern","ギョ, ゴ","おん-, お-, み-"
U+5FA8,徨,wandering,コウ,さまよ.う
U+5FA9,復,"restore, return to, revert, resume",フク,また
U+5FAE,微,"delicate, minuteness, insignificance",ビ,かす.か
U+5FB3,徳,"benevolence, virtue, goodness, commanding respect",トク,
U+5FB9,徹,"penetrate, clear, pierce, strike home, sit up (all night)",テツ,
U+5FC3,心,"heart, mind, spirit, heart radical (no. 61)",シン,"こころ, -ごころ"
U+5FC5,必,"invariably, certain, inevitable",ヒツ,かなら.ず
U+5FCC,忌,"mourning, abhor, detestable, death anniversary",キ,"い.む, い.み, い.まわしい"
U+5FCD,忍,"endure, bear, put up with, conceal, secrete, spy, sneak",ニン,"しの.ぶ, しの.ばせる"
U+5FD7,志,"intention, plan, resolve, aspire, motive, hopes, shilling",シ,"シリング, こころざ.す, こころざし"
U+5FD8,忘,forget,ボウ,わす.れる
U+5FD9,忙,"busy, occupied, restless","ボウ, モウ","いそが.しい, せわ.しい, おそ.れる, うれえるさま"
U+5FDC,応,"apply, answer, yes, OK, reply, accept","オウ, ヨウ, -ノウ","あた.る, まさに, こた.える"
U+5FDD,忝,"grateful, indebted",テン,かたじけな.い
U+5FE0,忠,"loyalty, fidelity, faithfulness",チュウ,
U+5FEB,快,"cheerful, pleasant, agreeable, comfortable",カイ,こころよ.い
U+5FF5,念,"wish, sense, idea, thought, feeling, desire, attention",ネン,
U+5FFD,忽,"in a moment, instantly, all of a sudden, neglect, disregard",コツ,"たちま.ち, ゆるが.せ"
U+5FFF,忿,be angry,フン,"いか.る, いかり"
U+6012,怒,"angry, be offended","ド, ヌ","いか.る, おこ.る"
U+6015,怕,"fear, worry, afraid","ハク, ヒャク, ハ",おそ.れる
U+6016,怖,"dreadful, be frightened, fearful","フ, ホ","こわ.い, こわ.がる, お.じる, おそ.れる"
U+601C,怜,wise,"レイ, レン, リョウ","あわ.れむ, さと.い"
U+601D,思,think,シ,"おも.う, おもえら.く, おぼ.す"
